,Sport,Date,Competition,Description
1656,Football,22-Dec 17:00,Turkey Super Lig,Genclerbirligi SK v Trabzonspor
1657,Football,22-Dec 17:00,Israel Liga Bet,Ironi Ashkelon v Maccabi Beer Sheva
1658,Football,22-Dec 17:00,Turkey 1. Lig,Bodrum Belediyesi Bodrumspor v Amed Sportif Faliyetler
1659,Football,22-Dec 17:00,Africa Cup Of Nations,South Africa v Angola
1660,Football,22-Dec 17:00,Cyprus Division 1,AEL Limassol v AEK Larnaca
1661,Football,22-Dec 17:00,Cyprus Division 1,Omonia Nicosia v Ethnikos Ach.
1662,Football,22-Dec 17:00,Germany Women's Division 1,Bayer Leverkusen Women v Bayern Munich Women
1663,Football,22-Dec 17:00,Israel Liga Leumit,Maccabi Petach Tikva v Hapoel Kfar Shalem
1664,Football,22-Dec 17:00,Israel Liga Leumit,Hapoel Akko v Hapoel Ramat Gan
1665,Football,22-Dec 17:00,Israel Liga Leumit,Hapoel Hadera v Kfar Kasem
1666,Football,22-Dec 18:00,Portugal Division 2,Benfica B v Sporting Lisbon B
1667,Football,22-Dec 18:00,Romania Liga I,CS Universitatea Craiova v AFK Csikszereda Miercurea Ciuc
1668,Football,22-Dec 18:00,Serbia Super Liga,FK Napredak v Radnicki Kragujevac
1669,Football,22-Dec 18:15,AFC Champions League Elite,Al Gharafa v Al Wahda (UAE)
1670,Football,22-Dec 18:15,AFC Champions League Elite,Al Shorta (Iraq) v Al Ahli Jeddah (KSA)
1671,Football,22-Dec 18:30,Israel Liga Bet,Shikun Hamizrah v Maccabi Ironi Netivot FC
1672,Football,22-Dec 18:30,Israel Premier League,Maccabi Haifa v Beitar Jerusalem
1673,Football,22-Dec 18:30,Algeria Ligue 1,USM Alger v MB Rouisset
1674,Football,22-Dec 18:45,Portugal Primeira Liga,FC Alverca v FC Porto
1675,Football,22-Dec 19:00,Netherlands Eerste Divisie,Jong FC Utrecht v Roda JC
1676,Football,22-Dec 19:00,Club Friendly,Cascavel v Metropolitano Maringa
1677,Football,22-Dec 19:00,England Premier League Cup,Stockport U21 v Cardiff U21
1678,Football,22-Dec 19:00,England Premier League Cup,Ipswich U21 v Charlton Athletic U21
1679,Football,22-Dec 19:00,England Premier League Cup,Wolverhampton Wanderers FC U21 v Nottm Forest U21
1680,Football,22-Dec 19:00,England Premier League Cup,Colchester U21 v Sunderland U21
1681,Football,22-Dec 19:00,England Premier League Cup,West Brom U21 v Luton U21
1682,Football,22-Dec 19:00,Netherlands Eerste Divisie,Jong Ajax v RKC Waalwijk
1683,Football,22-Dec 19:00,England Premier League Cup,Bristol City U21 v Sheffield United U21
1684,Football,22-Dec 19:00,Netherlands Eerste Divisie,Jong FC Utrecht v Roda JC
1685,Football,22-Dec 19:00,England Premier League Cup,Bournemouth U21 v Birmingham U21
1686,Football,22-Dec 19:00,Italy Super Cup,Napoli v Bologna
1687,Football,22-Dec 19:00,Club Friendly,Cascavel v Metropolitano Maringa
1688,Football,22-Dec 19:30,Italy Lega Pro Prima Divisione Girone A,Union Brescia v Inter U23
