,Sport,Date,Competition,Description
0,AmericanFootball,06-Jan 00:30,NCAA Division I FCS,Illinois State Redbirds @ Montana State Bobcats
1,Baseball,06-Jan 01:30,Mexico LMP,Naranjeros De Hermosillo @ Charros de Jalisco
2,Baseball,06-Jan 02:30,Mexico LMP,Tomateros De Culiacan @ Caneros De Los Mochis
3,Baseball,06-Jan 02:30,Mexico LMP,Jaguares de Nayarit @ Algodoneros De Guasave
4,Baseball,06-Jan 03:30,Mexico LMP,Yaquis de Cd Obregon @ Aguilas de Mexicali
5,Basketball,05-Jan 16:00,Serbia KLS,Radnicki Kragujevac v KK Dynamic
6,Basketball,05-Jan 16:00,Romania Divizia A,CSM Targu Mures v BCMU Pitesti
7,Basketball,05-Jan 16:00,Baltic Basketball League (W),MKK Panevezys Women v Klaipedos LCC Women
8,Basketball,05-Jan 16:30,Greece A2 Ethniki,AS Papagou v Vikos
9,Basketball,05-Jan 16:35,Israel Ligat Haal,Maccabi Ironi Raanana v Ironi Ramat Gan
10,Basketball,05-Jan 17:00,Latvia - Estonian Basketball League,Liepajas Lauvas v Latvijas Universitate
11,Basketball,05-Jan 17:00,Slovakia Extraliga,MBK Lucenec v Nitra Blue Wings
12,Basketball,05-Jan 17:00,Qatar Basketball League,Al Shamal v Al Gharafa
13,Basketball,05-Jan 17:00,Poland PBL,Anwil Wloclawek v Gornik Walbrzych
14,Basketball,05-Jan 17:00,Croatia A1 Liga,Zadar v Zabok
15,Basketball,05-Jan 17:00,Cyprus Division A,AEK Larnaca v Apoel BC
16,Basketball,05-Jan 17:00,Serbia KLS,Tamis v OKK Beograd
17,Basketball,05-Jan 17:00,Cyprus Division A,Anorthosis Famagusta v Enosis Neon Paralimniou BC
18,Basketball,05-Jan 17:15,Bulgaria NBL,Rilski Sportist v Balkan Botevgrad
19,Basketball,05-Jan 17:15,Turkey TBL,Bordo Sportif RS v Goztepe
20,Basketball,05-Jan 18:00,Romania Divizia A,Dinamo Bucuresti v CS Valcea
21,Basketball,05-Jan 18:00,France Coupe de France,Blois v Bourg-en-Bresse
22,Basketball,05-Jan 18:00,Adriatic League,KK Mega Basket v BC Zepter Vienna
23,Basketball,05-Jan 18:04,Sweden Ligan,Hogsbo v Koping Basket
24,Basketball,05-Jan 18:04,Sweden Ligan,Jamtland Basket v Umea BSKT
25,Basketball,05-Jan 18:30,Serbia KLS,Sloga v KK Cacak 94
26,Basketball,05-Jan 18:55,Israel Ligat Haal,Maccabi Ironi Ness Ziona v Elitzur Kiryat Ata
27,Basketball,05-Jan 19:00,Italy Lega 1 Basket,Reyer Venezia Mestre v De Longhi Treviso
28,Basketball,05-Jan 19:00,Germany BBL,Baskets Bonn v Brose Bamberg
29,Basketball,05-Jan 22:00,NCAA,Columbia Lions @ Cornell Big Red
30,Basketball,05-Jan 23:30,NCAA,Nebraska Cornhuskers @ Ohio State Buckeyes
31,Basketball,05-Jan 23:30,NCAA,Alabama St Hornets @ Arkansas Pine Bluff Golden Lions
32,Basketball,06-Jan 00:00,NCAA,Dartmouth Big Green @ Harvard Crimson
33,Basketball,06-Jan 00:00,NCAA,Oregon Ducks @ Rutgers Scarlet Knights
34,Basketball,06-Jan 00:00,NCAA,Wisconsin Milwaukee Panthers @ Wisconsin Green Bay Phoenix
35,Basketball,06-Jan 00:00,NCAA,Pennsylvania Quakers @ Princeton Tigers
36,Basketball,06-Jan 00:00,NCAA,Oregon Ducks @ Rutgers Scarlet Knights
37,Basketball,06-Jan 00:00,NCAA,Yale Bulldogs @ Brown Bears
38,Basketball,06-Jan 00:00,NCAA,William & Mary Tribe @ College of Charleston Cougars
39,Basketball,06-Jan 00:00,NCAA,Lamar Cardinals @ Southeastern Louisiana Lions
40,Basketball,06-Jan 00:00,NCAA,Prairie View A&M Panthers @ Southern University Jaguars
41,Basketball,06-Jan 00:05,US NBA,New York Knicks @ Detroit Pistons
42,Basketball,06-Jan 00:30,NCAA,Texas Southern Tigers @ Grambling State Tigers
43,Basketball,06-Jan 00:30,NCAA,Stephen Austin Lumberjacks @ Mcneese State Cowboys
44,Basketball,06-Jan 00:30,NCAA,Incarnate Word Cardinals @ UT Rio Grande Valley Vaqueros
45,Basketball,06-Jan 00:30,NCAA,Northwestern State Demons @ Nicholls State Colonels
46,Basketball,06-Jan 00:35,US NBA,Chicago Bulls @ Boston Celtics
47,Basketball,06-Jan 00:35,US NBA,Atlanta Hawks @ Toronto Raptors
48,Basketball,06-Jan 01:00,NCAA,Alabama A&M Bulldogs @ Mississippi Valley State Delta Devils
49,Basketball,06-Jan 01:00,NCAA,Texas A&M CC Islanders @ Houston Christian
50,Basketball,06-Jan 01:00,NCAA,East Texas A&M Lions @ New Orleans Privateers
51,Basketball,06-Jan 01:05,US NBA,Phoenix Suns @ Houston Rockets
52,Basketball,06-Jan 01:05,US NBA,Charlotte Hornets @ Oklahoma City Thunder
